scientificName,year,decimalLatitude,decimalLongitude
Echinocardium cordatum,1997,57.18,12.0833
Pholoe baltica,2010,57.3033,11.9883
Amphiura filiformis,1999,57.1367,12.1067
Goniada maculata,1996,57.12,12.0197
Pholoe baltica,2010,57.4892,11.8075
Levinsenia gracilis,1990,57.18,12.0183
Anobothrus gracilis,2003,56.2012,12.4745
Praxillella praetermissa,2010,56.0283,12.6867
Trochochaeta multisetosa,1994,57.4067,12.05
Scalibregma inflatum,2007,57.6092,11.625
Diastylis lucifera,1997,57.3033,11.9883
Ampelisca tenuicornis,2006,57.3033,11.9883
Thyasira flexuosa,2010,57.2687,12.0833
Spiophanes kroyeri,2012,57.3033,11.9883
Anobothrus gracilis,2008,57.1367,12.1067
Echinocardium cordatum,1996,57.225,12.0742
Heteromastus filiformis,2002,56.6167,12.6407
Calocaris macandreae,2001,57.9228,11.3118
Phyllodoce groenlandica,2012,57.3708,12.074
Pholoe minuta,1973,57.225,12.0783
Ampelisca tenuicornis,1998,57.36,12.0292
Amphiura chiajei,2010,57.67,11.69
Ampelisca brevicornis,2014,57.36,12.0292
Glycera alba,1982,57.225,12.0783
Amphictene auricoma,2002,57.18,12.0183
Ennucula tenuis,1999,56.6667,12.1167
Oxydromus flexuosus,2003,57.67,11.69
Nephtys caeca,1999,56.6167,12.6407
Abra alba,1986,57.225,12.0783
Nephtys hombergii,1980,57.225,12.0783
Abra nitida,1980,57.225,12.0783
Amphiura chiajei,2003,57.5495,11.5248
Priapulus caudatus,2004,57.6615,11.8053
Amphiura chiajei,2004,56.6667,12.1167
Artacama proboscidea,2003,57.5047,11.8042
Capitella capitata,1996,57.2687,12.0833
Diplocirrus glaucus,2008,57.2687,12.0833
Ophelina acuminata,2009,57.18,12.0833
Turritella communis,2012,57.9149,11.5577
Maldane sarsi,2001,57.36,12.0292
Spiophanes kroyeri,1978,57.18,12.0183
Trichobranchus glacialis,1996,57.3033,11.9883
Thyasira sarsii,1999,57.12,12.0197
Exogone verugera,1985,57.9317,11.0417
Goniada maculata,1999,56.6167,12.6407
Labidoplax buskii,1997,57.9317,11.0417
Polyphysia crassa,1980,57.18,12.0183
Westwoodilla caecula,1974,57.18,12.0183
Chaetopterus variopedatus,1994,57.9317,11.0417
Fabulina fabula,2003,56.4761,12.8296
Chaetozone setosa,2004,57.1367,12.1067
Abra alba,1994,57.18,12.0833
Tellimya tenella,2010,57.1912,11.6667
Echinocardium cordatum,1997,57.1367,12.1067
Scoloplos armiger,2009,56.4761,12.8296
Diastylis rathkei,2003,56.0283,12.6867
Galathowenia oculata,1985,57.225,12.0783
Heteromastus filiformis,2014,57.4532,12.0643
Galathowenia oculata,1996,57.1367,12.1067
Kurtiella bidentata,1985,57.225,12.0783
Echinocardium cordatum,2010,57.36,12.0292
Ampharete baltica,2012,57.3568,11.9752
Labidoplax buskii,1979,57.225,12.0783
Chaetozone setosa,1995,57.18,12.0833
Nephtys hombergii,1986,57.225,12.0783
Scalibregma inflatum,1998,57.1367,12.1067
Amphiura filiformis,1987,57.18,12.0183
Rhodine loveni,2004,57.3033,11.9883
Philine aperta,2001,56.4761,12.8296
Corbula gibba,1995,57.3033,11.9883
Protomedeia fasciata,1997,57.2687,12.0833
